student_id,age,gender,enrollment_status,first_generation,prior_gpa,weekly_logins,forum_posts,video_completion_pct,assignment_ontime_pct,weekly_hours,midterm_score,final_score,overall_grade,letter_grade,completed_course,at_risk,last_login_days_ago
STU0001,19,Male,Full-time,False,3.1,7,8,68.3,75.5,8.6,63.5,52.2,62.0,D,True,True,3
STU0002,22,Prefer not to say,Part-time,False,2.93,8,8,70.0,77.3,15.0,79.0,60.5,71.2,C,True,False,1
STU0003,22,Female,Full-time,False,2.71,14,10,70.8,100.0,12.0,50.6,52.9,63.9,D,True,False,2
STU0004,19,Female,Full-time,True,2.73,8,6,59.0,69.8,15.6,57.9,72.0,66.5,D,False,True,0
STU0005,27,Male,Full-time,True,2.98,11,6,100.0,75.9,13.9,65.8,61.1,66.4,D,True,False,1
STU0006,23,Male,Full-time,False,2.73,10,4,68.2,57.4,8.3,40.0,45.0,50.0,F,True,True,3
STU0007,18,Male,Full-time,False,2.64,6,6,65.2,99.0,9.4,49.4,58.6,65.5,D,True,True,1
STU0008,23,Female,Full-time,False,3.05,13,12,99.3,85.9,14.3,83.7,88.4,86.2,B,True,False,4
STU0009,19,Female,Full-time,False,2.87,8,6,55.4,30.0,14.4,68.7,47.1,50.4,F,False,True,2
STU0010,24,Female,Full-time,False,3.75,12,9,57.9,73.7,9.3,80.1,86.5,81.1,B,True,False,0
STU0011,25,Male,Full-time,False,2.0,13,5,94.8,95.8,18.5,50.4,59.7,65.5,D,False,False,4
STU0012,19,Prefer not to say,Full-time,True,3.55,12,3,62.3,68.6,11.4,64.9,73.0,69.1,D,True,True,2
STU0013,24,Female,Part-time,True,3.62,12,2,70.3,90.9,14.6,48.0,68.3,66.8,D,False,False,1
STU0014,23,Male,Full-time,True,2.0,8,5,84.5,73.2,13.9,70.8,76.3,73.6,C,True,False,1
STU0015,24,Male,Full-time,True,2.83,12,5,93.8,80.1,12.5,77.5,66.8,73.9,C,True,False,2
STU0016,27,Male,Part-time,True,2.81,11,7,65.4,72.8,7.2,71.0,72.0,71.8,C,True,False,1
STU0017,21,Male,Full-time,True,2.3,5,7,42.6,46.5,10.5,73.9,64.4,63.3,D,True,True,2
STU0018,19,Female,Part-time,True,2.61,5,5,78.7,86.4,10.6,68.1,75.0,75.4,C,False,False,2
STU0019,19,Male,Full-time,True,2.44,13,5,70.3,93.3,8.1,77.8,78.3,81.8,B,True,False,1
STU0020,19,Male,Part-time,False,3.88,6,7,83.4,97.8,14.8,72.8,57.0,72.7,C,True,False,1
STU0021,21,Female,Full-time,True,3.47,11,10,72.7,60.7,10.2,45.0,58.6,54.4,F,True,True,5
STU0022,23,Male,Part-time,False,3.64,14,7,72.8,100.0,18.9,84.0,71.4,83.0,B,True,False,1
